image,category,split,selection_reason,source
dfire_test_AoF07958.jpg,fire_only,test,human_approved,dfire
dfire_test_PublicDataset01073.jpg,fire_only,test,human_approved,dfire
dfire_test_PublicDataset01080.jpg,fire_only,test,human_approved,dfire
dfire_test_WEB10915.jpg,fire_only,test,human_approved,dfire
dfire_train_AoF04340.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04362.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04503.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04527.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04541.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04547.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04563.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04788.jpg,fire_only,train,human_approved,dfire
dfire_train_AoF04957.jpg,fire_only,train,human_approved,dfire
dfire_train_PublicDataset00089.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB03894.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB04069.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB04149.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB04160.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB04186.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB04364.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB04973.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB05400.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB05405.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB05441.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB05516.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB05696.jpg,fire_only,train,human_approved,dfire
dfire_train_WEB05769.jpg,fire_only,train,human_approved,dfire
dfire_val_AoF04754.jpg,fire_only,val,human_approved,dfire
dfire_val_PublicDataset00077.jpg,fire_only,val,human_approved,dfire
dfire_val_WEB04051.jpg,fire_only,val,human_approved,dfire
dfire_val_WEB04362.jpg,fire_only,val,human_approved,dfire
dfire_val_WEB05686.jpg,fire_only,val,human_approved,dfire
dfire_val_WEB05765.jpg,fire_only,val,human_approved,dfire
dfire_test_PublicDataset01141.jpg,smoke_only,test,human_approved,dfire
dfire_test_WEB11014.jpg,smoke_only,test,human_approved,dfire
dfire_test_WEB11337.jpg,smoke_only,test,human_approved,dfire
dfire_train_AoF05103.jpg,smoke_only,train,human_approved,dfire
dfire_train_AoF06142.jpg,smoke_only,train,human_approved,dfire
